dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_l2c/5T/long,TurkForecast-FM-Chronos2-LoRA-v1,96.63757936507936,96.63757936507936,6.570953621031746,0.6471512945825063,0.550500069975595,0.811466548859127,5.148691017725035,9.830441463387052,0.5519645916327948,0.36894922222762233,0.2977954916750903,Web/CloudOps,7
bizitobs_l2c/5T/medium,TurkForecast-FM-Chronos2-LoRA-v1,81.7203762755102,81.7203762755102,5.994177163052721,0.5826103672409443,0.44157504104487144,0.6657834007626489,4.4808924084573665,9.03993231586997,0.47563337777660464,0.3153818669691863,0.24720505695342634,Web/CloudOps,7
bizitobs_l2c/5T/short,TurkForecast-FM-Chronos2-LoRA-v1,1.2736444473266602,1.2736444379370748,1.0646353562672932,1.4394779156694748,0.10427936911582947,0.11074050267537434,6.496190051243036,1.128558570623014,0.11208759513494355,0.105738789182876,0.08656550336132517,Web/CloudOps,7
bizitobs_l2c/H/long,TurkForecast-FM-Chronos2-LoRA-v1,85.68464781746032,85.68464781746032,5.357755921378968,0.5712635894958724,0.6297144659223869,0.7843813941592261,5.135881343364576,9.256600229968901,0.5654198582399772,0.3272671951136721,0.2672670630808577,Web/CloudOps,7
bizitobs_l2c/H/medium,TurkForecast-FM-Chronos2-LoRA-v1,76.57036830357143,76.57036830357143,4.936408923921131,0.4979993374385745,0.4964170399098629,0.7691191173735119,3.3091562434700794,8.750449605795774,0.5298530148006348,0.29890705831800585,0.2359357980831375,Web/CloudOps,7
bizitobs_l2c/H/short,TurkForecast-FM-Chronos2-LoRA-v1,10.819485982259115,10.819486312630715,3.180017352104187,0.4174540700545407,0.11202432711919148,0.11910935242970784,5.936501370052949,3.289298706754848,0.11661674936909298,0.11274236045511557,0.10096949785902391,Web/CloudOps,7
bizitobs_service/10S/long,TurkForecast-FM-Chronos2-LoRA-v1,131188.08042328042,131188.08042328042,76.91575396825397,1.3255743262231172,0.07917331917576058,0.07955421730324073,18.17709193096694,362.1989514386816,0.2683285624352049,0.056981649474530625,0.0511030149757811,Web/CloudOps,2
bizitobs_service/10S/medium,TurkForecast-FM-Chronos2-LoRA-v1,37981.88444444445,37981.88444444445,39.59513888888889,0.9790487780830548,0.06515108623201885,0.0587854488312252,10.441729982856108,194.8894159374604,0.1466783495022143,0.029800231031514076,0.02211947431703989,Web/CloudOps,2
bizitobs_service/10S/short,TurkForecast-FM-Chronos2-LoRA-v1,1836.175238095238,1836.175238095238,17.853725198412697,0.71692567427202,0.05574358258928572,0.04660181439112103,5.53490701103776,42.85061537592241,0.03174510577022393,0.013226610396232215,0.010125705005055306,Web/CloudOps,2
car_parts/M/short,TurkForecast-FM-Chronos2-LoRA-v1,1.3728812440578502,1.3728812440578502,0.45334444113171746,0.8359773797258253,0.8484361781497719,1.903766687321476,15.376365499809188,1.1717001510872354,2.8096167687905766,1.0870734655617833,0.9660464513713963,Sales,1
covid_deaths/D/short,TurkForecast-FM-Chronos2-LoRA-v1,491285.0026464259,491284.9982696425,122.913200165987,6.563407122049355,0.20629658011926547,0.426425896068414,685.956905261619,700.9172580600551,0.6526357037845437,0.11444652300999619,0.07383022747641926,Healthcare,1
electricity/15T/long,TurkForecast-FM-Chronos2-LoRA-v1,311064.08655255253,311064.08655255253,56.517862706456455,0.8554108103088559,0.12106029066856129,0.1287547336154514,7.247739954641148,557.7311956064073,0.8798893135132914,0.08916385493544576,0.07167304284461921,Energy,1
electricity/15T/medium,TurkForecast-FM-Chronos2-LoRA-v1,259282.1163963964,259282.1163963964,51.24800267454955,0.8041393284984164,0.11774989078055213,0.12681871816274282,7.066440269952036,509.1975219857186,0.877398605698191,0.08830546919418839,0.07142175805937691,Energy,1
electricity/15T/short,TurkForecast-FM-Chronos2-LoRA-v1,569.8243161101515,569.8243035120253,8.120091214478016,0.3150890824201111,0.08711830541374636,0.10244774495561919,3.94900938246791,23.87099319488302,0.23364175680615715,0.07947689183789908,0.06406816925927099,Energy,1
electricity/D/short,TurkForecast-FM-Chronos2-LoRA-v1,1275285.582471354,1275285.5738211996,526.654396891276,1.1762035837391729,0.08917937111854553,0.08296761306126912,14.123542326924964,1129.2854300270387,0.12227264799314491,0.05702316311373778,0.04595426245846068,Energy,1
electricity/H/long,TurkForecast-FM-Chronos2-LoRA-v1,9137662.634666666,9137662.634666666,282.3887507507508,1.1925033326651895,0.29071461624112027,0.14178493337087086,9.865966042933266,3022.856700981154,1.1922137887853903,0.11137403977292432,0.08775034376303065,Energy,1
electricity/H/medium,TurkForecast-FM-Chronos2-LoRA-v1,6055900.268108108,6055900.268108108,244.40511542792794,1.0691861062780872,0.23166439194444644,0.12954365223377676,8.94221628330075,2460.8738830155658,0.9605601728525409,0.09539937074459606,0.07593499533151156,Energy,1
electricity/H/short,TurkForecast-FM-Chronos2-LoRA-v1,4472.552361089108,4472.552346311361,27.981416455904647,0.8275140821788405,0.06793394207954406,0.06848514009267091,10.60395634424436,66.87714378686569,0.13920573328679325,0.05824371919376945,0.0470979880074406,Energy,1
electricity/W/short,TurkForecast-FM-Chronos2-LoRA-v1,222573686.08339843,222573689.1091473,5583.665745239257,1.9659352960831997,0.08884189989417791,0.08592616360634565,19.10817636397229,14918.903648840904,0.2205613919194663,0.0825490344235387,0.06301357361198406,Energy,1
ett1/15T/long,TurkForecast-FM-Chronos2-LoRA-v1,8.841597222222223,8.841597222222223,1.5811059957837301,1.0133727405348167,0.7827073009652279,0.38617210751488096,8.330647018479825,2.9734823393156757,0.5667486738823136,0.30136036610327815,0.24113485656719547,Energy,7
ett1/15T/medium,TurkForecast-FM-Chronos2-LoRA-v1,9.473058655753968,9.473058655753968,1.5767613777281746,0.9859937447971706,0.7630063625767908,0.37749449714781746,7.507395887777427,3.077833435349283,0.5866380266337106,0.30053224208922674,0.23303125605934719,Energy,7
